study_id,effect_id,author,year,yi,sei,n_ai,n_control,role,role_multi,domain,generation,subject,duration,pedagogy,design,reverse,flag,outcome_zh,country,sample,edu_level,age_group,mean_age_sd,pct_female,n_total,chatbot,control
1,1,Darmawansah et al.,2025,1.3874,0.2721756085224837,34,33,CP,single,higher_order,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,论证性口语表现,Indonesia,67 first-year university students,Undergraduate (freshmen),Adults,19.8,—,67 (34/33),ChatGPT,Conventional collaborative argumentation
1,2,Darmawansah et al.,2025,1.2634,0.2676314308337245,34,33,CP,single,higher_order,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,批判性思维意识,Indonesia,67 first-year university students,Undergraduate (freshmen),Adults,19.8,—,67 (34/33),ChatGPT,Conventional collaborative argumentation
1,3,Darmawansah et al.,2025,1.3874,0.2721756085224837,34,33,CP,single,collaborative,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,协作倾向,Indonesia,67 first-year university students,Undergraduate (freshmen),Adults,19.8,—,67 (34/33),ChatGPT,Conventional collaborative argumentation
3,1,Hayashi,2020,0.7619,0.2315773576205152,40,40,CP_FP,multiple,collaborative,Pre-GAI,Social Sciences,≤1 month,CL,RCT (2×2),否,keep,共识达成,Japan,80 participants (dyads),Undergraduate (psychology),Adults,19.85,60.0%,80 (48F/32M),PCA (Pedagogical Conversational Agent),No PCA (2×2 design)
3,2,Hayashi,2020,0.4942,0.2269944057680717,40,40,CP_FP,multiple,collaborative,Pre-GAI,Social Sciences,≤1 month,CL,RCT (2×2),否,keep,互惠互动,Japan,80 participants (dyads),Undergraduate (psychology),Adults,19.85,60.0%,80 (48F/32M),PCA (Pedagogical Conversational Agent),No PCA (2×2 design)
4,1,Hu et al.,2025,1.4099,0.2530305800156908,39,39,CP_FP,multiple,cognitive,Post-GAI,Arts and Humanities,≤1 month,CL,RCT,否,keep,学习表现,China,78 undergraduates (39+39),Undergraduate,Adults,—,89.7%,78 (39/39),CollaBot,Without CollaBot
5,1,Jin et al.,2026,1.4587296474600338,0.2906428358082177,29,31,CP,single,higher_order,Post-GAI,Social Sciences,≤1 month,CL,RCT (3 conditions),否,keep,道德-论证网络整合(MR1),Australia & China,217 university students (triads),University (undergraduate),Adults,18–27 (range),57.2%,217,GPT-5,Human-only control
5,2,Jin et al.,2026,0.4367025178552306,0.26140020188591,29,31,CP,single,higher_order,Post-GAI,Social Sciences,≤1 month,CL,RCT (3 conditions),否,keep,有据论断(grounded claims),Australia & China,217 university students (triads),University (undergraduate),Adults,18–27 (range),57.2%,217,GPT-5,Human-only control
8,1,Nguyen,2023,0.4766,0.1875126662388437,59,58,CP,single,cognitive,Pre-GAI,Natural Sciences,≤1 month,CL,RCT (3 conditions),否,keep,机制理解-expert,USA,172 9th-grade students (5 per group),High school (Gr 9),Adolescents,13–14 (range),52.0%,172 (58/59/55),Custom CA (expert/peer),No agent (control)
8,2,Nguyen,2023,0.2654,0.1890370334088006,55,58,CP,single,cognitive,Pre-GAI,Natural Sciences,≤1 month,CL,RCT (3 conditions),否,keep,机制理解-peer,USA,172 9th-grade students (5 per group),High school (Gr 9),Adolescents,13–14 (range),52.0%,172 (58/59/55),Custom CA (expert/peer),No agent (control)
8,3,Nguyen,2023,0.1786,0.185275470583669,59,58,CP,single,cognitive,Pre-GAI,Natural Sciences,≤1 month,CL,RCT (3 conditions),否,keep,组成(components),USA,172 9th-grade students (5 per group),High school (Gr 9),Adolescents,13–14 (range),52.0%,172 (58/59/55),Custom CA (expert/peer),No agent (control)
11,1,Pusic et al.,2026,0.7547,0.2606565660887682,36,28,CP,single,load,Post-GAI,Natural Sciences,≤1 month,CL,Quasi (exploratory),是,keep,解题尝试次数(越少越好),Croatia,"64 students (20 groups, 3-4 per group)",Primary school,Children,—,—,64 (36/28),ChatGPT (GPT-5-nano),Human peers only
